City,State,Walk Score,Transit Score,Bike Score,Population,Average Travel Score
San Francisco,CA,88.7,77.1,72.3,805235,79.36666666666666
New York,NY,88.0,88.6,69.3,8175133,81.96666666666667
Jersey City,NJ,86.6,70.5,63.9,247597,73.66666666666667
Boston,MA,82.8,72.4,69.4,617594,74.86666666666666
Chicago,IL,77.2,65.0,72.2,2695598,71.46666666666667
Washington D.C.,DC,76.7,68.7,69.5,601723,71.63333333333333
Miami,FL,76.6,57.0,64.0,399457,65.86666666666666
Newark,NJ,75.9,65.0,51.1,277140,64.0
Oakland,CA,75.3,56.6,65.5,390724,65.8
Philadelphia,PA,74.8,67.0,66.7,1526006,69.5
Seattle,WA,74.4,59.6,71.1,608660,68.36666666666666
Long Beach,CA,73.3,48.9,70.1,462257,64.1
Minneapolis,MN,71.4,55.0,83.5,382578,69.96666666666667
Arlington,VA,71.2,58.6,72.3,207627,67.36666666666666
Los Angeles,CA,68.6,52.9,58.7,3792621,60.06666666666666
Hialeah,FL,67.9,39.0,50.6,224669,52.5
Portland,OR,67.3,49.3,82.7,583776,66.43333333333334
Santa Ana,CA,67.1,43.3,62.2,324528,57.53333333333334
Buffalo,NY,66.6,47.5,62.8,261310,58.96666666666666
Honolulu,HI,65.7,56.3,51.0,337256,57.666666666666664
St. Louis,MO,65.7,42.6,57.7,319294,55.333333333333336
Baltimore,MD,64.3,53.2,53.4,620961,56.96666666666666
Pittsburgh,PA,62.4,55.2,54.9,305704,57.5
Milwaukee,WI,61.5,48.7,57.6,594833,55.93333333333334
Denver,CO,61.2,44.6,71.8,600158,59.199999999999996
Rochester,NY,60.7,41.3,59.9,210565,53.96666666666666
St. Paul,MN,60.4,46.4,64.0,285068,56.93333333333334
New Orleans,LA,58.0,43.9,65.7,343829,55.86666666666667
Cleveland,OH,57.1,43.9,52.3,396815,51.1
Anaheim,CA,55.7,33.9,52.3,336265,47.300000000000004
San Diego,CA,53.3,37.3,43.0,1307402,44.53333333333333
Detroit,MI,51.1,35.7,52.1,713777,46.300000000000004
Richmond,VA,50.9,,50.8,204214,50.849999999999994
San Jose,CA,50.5,40.1,61.5,945942,50.699999999999996
Paradise,NV,50.1,38.1,50.1,223167,46.1
Fremont,CA,49.9,36.3,54.4,214089,46.86666666666667
Madison,WI,49.7,34.9,65.5,233209,50.03333333333333
