City,State,UniqueFastFoodChains
Aberdeen,MD,1
Aberdeen,NC,2
Aberdeen,SD,1
Aberdeen,WA,2
Abilene,TX,4
Abingdon,VA,2
Abington,PA,1
Acton,MA,2
Acworth,GA,5
Ada,OK,3
Adairsville,GA,2
Adel,GA,1
Adrian,MI,2
Afton,WY,1
Agawam,MA,1
Agoura Hills,CA,2
Aiken,SC,2
Akron,OH,9
Alameda,CA,3
Alamogordo,NM,2
Albany,CA,2
Albany,GA,6
Albany,NY,3
Albany,OR,3
Albert Lea,MN,3
Albertville,MN,1
Albion,MI,1
Albion,NE,1
Albuquerque,NM,18
Alden,NY,1
Aledo,IL,1
Alexandria,LA,4
Alexandria,MN,3
Alexandria,VA,4
Algona,IA,1
Algonquin,IL,1
Alhambra,CA,5
Alice,TX,1
Aliquippa,PA,1
Allen,TX,4
Allen Park,MI,1
Allendale,MI,2
Allendale,SC,1
Allentown,PA,6
Alliance,NE,2
Alliance,OH,2
Allison Park,PA,2
Allston,MA,1
Alma,MI,1
Alpena,MI,2
Alpharetta,GA,4
Alpine,CA,1
Altadena,CA,3
Altamonte Springs,FL,1
Alto,GA,1
Altoona,PA,4
Alturas,CA,1
Alvin,TX,2
Amarillo,TX,4
Amelia,OH,3
American Canyon,CA,1
American Fork,UT,1
Americus,GA,2
Ames,IA,7
Amite,LA,1
Amityville,NY,1
Amory,MS,1
Anaheim,CA,9
Anchorage,AK,5
Anderson,IN,2
Anderson,SC,6
Andover,KS,2
Andover,MN,1
Angleton,TX,1
Angola,IN,1
Ankeny,IA,7
Ann Arbor,MI,3
Annandale,VA,1
Annapolis,MD,2
Anoka,MN,1
Antelope,CA,1
Antioch,CA,3
Antioch,TN,1
Apache Junction,AZ,2
Apex,NC,1
Apopka,FL,3
Apple Valley,CA,1
Appleton,WI,2
Arapahoe,NE,1
Arcade,NY,1
Arcadia,CA,3
Arcadia,FL,1
Arcadia,LA,1
Arcata,CA,1
Ardmore,OK,2
Ardmore,PA,1
Arkadelphia,AR,1
Arkansas City,KS,1
Arlington,MA,3
Arlington,TN,2
Arlington,TX,7
Arlington,VA,5
Arlington Heights,IL,1
Arnold,MO,5
Arroyo Grande,CA,1
Artesia,CA,2
Arvada,CO,5
Ashdown,AR,1
Asheboro,NC,3
Asheville,NC,3
Ashland,KY,4
Ashland,MO,1
Ashland,OH,2
Ashland,OR,1
Astoria,NY,1
Astoria,OR,2
Atascadero,CA,2
Athens,GA,6
Athens,OH,2
Athens,TN,1
Athens,TX,1
Atlanta,GA,17
Atlanta,TX,2
Atlantic Beach,FL,1
Atoka,OK,1
Attleboro,MA,1
Auburn,CA,2
Auburn,IN,3
Auburn,MI,1
Auburn,NE,1
Auburn,NY,1
Auburn,WA,3
Auburn Hills,MI,2
Auburndale,FL,3
Augusta,GA,9
Augusta,ME,5
Aurora,CO,11
Aurora,IL,5
Aurora,IN,1
Aurora,OH,2
Austell,GA,1
Austin,MN,2
Austin,TX,15
Avon,IN,2
Avon,MN,1
Avon Lake,OH,1
Avon Park,FL,1
Avondale,AZ,8
Aynor,SC,2
Azle,TX,1
Aztec,NM,1
Azusa,CA,5
Bad Axe,MI,1
Baker,CA,1
Baker,LA,1
Bakersfield,CA,8
Baldwin,NY,2
Baldwin Park,CA,4
Ballwin,MO,1
Baltimore,MD,3
Bangor,ME,2
Barberton,OH,1
Barbourville,KY,1
Barnesville,GA,2
Barstow,CA,3
