State,City,Cost of Living Index
AK,Anchorage,110.7
AK,Fairbanks,107.9
AL,Albertville,90.9
AL,Anniston,85.7
AL,Auburn,91.9
AL,Birmingham,90.7
AL,Cullman,90.5
AL,Daphne,96.6
AL,Decatur,88.6
AL,Dothan,86.3
AL,Florence,86.8
AL,Gadsden,86.0
AL,Huntsville,91.3
AL,Mobile,88.3
AL,Montgomery,88.5
AL,Talladega,87.4
AL,Tuscaloosa,91.0
AR,Fayetteville,90.4
AR,Fort Smith,84.2
AR,Hot Springs,87.3
AR,Jonesboro,85.2
AR,Little Rock,88.0
AR,Pine Bluff,82.3
AR,Russellville,85.5
AR,Searcy,85.4
AZ,Flagstaff,108.5
AZ,Lake Havasu City,98.4
AZ,Phoenix,104.3
AZ,Prescott,104.6
AZ,Show Low,101.9
AZ,Sierra Vista,93.2
AZ,Tucson,97.7
AZ,Yuma,94.5
CA,Bakersfield,102.9
CA,Chico,110.5
CA,Clearlake,108.8
CA,El Centro,102.3
CA,Eureka,116.5
CA,Fresno,105.9
CA,Hanford,105.4
CA,Los Angeles,140.6
CA,Madera,108.9
CA,Merced,108.2
CA,Modesto,112.3
CA,Napa,149.6
CA,Redding,108.7
CA,Riverside,116.1
CA,Sacramento,120.3
CA,Salinas,138.3
CA,San Diego,136.2
CA,San Francisco,178.6
CA,San Jose,173.5
CA,San Luis Obispo,136.1
CA,Santa Cruz,163.9
CA,Santa Maria,143.0
CA,Santa Rosa,141.7
CA,Stockton,113.6
CA,Truckee,132.8
CA,Ukiah,128.0
CA,Vallejo,125.2
CA,Ventura,132.2
CA,Visalia,103.6
CA,Yuba City,108.7
CO,Boulder,118.7
CO,Colorado Springs,102.2
CO,Denver,112.1
CO,Fort Collins,109.2
CO,Glenwood Springs,127.8
CO,Grand Junction,98.1
CO,Greeley,106.1
CO,Pueblo,92.2
CT,Hartford,104.8
CT,New Haven,107.7
CT,New London,105.9
CT,Stamford,119.2
CT,Torrington,105.2
DC,Washington,120.1
DE,Dover,101.3
FL,Crestview,104.7
FL,Daytona Beach,99.6
FL,Fort Myers,101.5
FL,Gainesville,97.3
FL,Homosassa Springs,95.5
FL,Jacksonville,99.0
FL,Key West,140.0
FL,Lake City,93.6
FL,Lakeland,96.4
FL,Melbourne,99.3
FL,Miami,110.1
FL,Naples,109.4
FL,Ocala,94.5
FL,Orlando,101.4
FL,Palatka,93.2
FL,Panama City,101.9
FL,Pensacola,97.9
FL,Port St. Lucie,101.1
FL,Punta Gorda,100.3
FL,Sarasota,104.4
FL,Sebring,93.1
FL,Tallahassee,96.4
FL,Tampa,101.4
