MarketName,street,city,County,State,zip
Wakefield ,8100 Braddock Road , Annandale ,Fairfax,Virginia,22003
Uptown Fresh Healthy Lifestyle Market,3248 Bailey Ave, Buffalo,Erie,New York,14215
Charlestown Land Trust Farmers' Market,4150 Old Post Road (Rt. 1A)," Charlestown, RI ",Washington,Rhode Island,2813
Festival Farmers Market,942 Main Street, Cobleskill,Schoharie,New York,12043
Garden Station Sunday Market ,509 East 4th Street, Dayton,Montgomery,Ohio,45402
Terra Local,Park st  and Eagle Street, Geneva,Ashtabula,Ohio,
Harrington Farmers Market,Commerce St. & Clark St., Harrington,Kent,Delaware,19952
King George Farmers Market,King George Middle School at 8246 Dahlgren Rd, King George,King George,Virginia,22485
"Urban Farmer's Market (Madison, FL)", College Loop Behind O'neals Resturant, Madison,Madison,Florida,32340
North End Farmers Market,417 Blust Ave., Mansfield ,Richland,Ohio,44903
Vliet Street Green Market ,4420 W Vliet Street, Milwaukee,Milwaukee,Wisconsin,53208
North Creek Farmers Market,"River Front Park, Rail Road Place", North Creek,Warren,New York,12843
Robertson County Farmer's Market ,4635 Hwy 41 North, Sprigfield,Robertson,Tennessee,37172
Victor Idaho Farmers Market ,58 N. Main St., Victor,Teton,Idaho,83455
Connor Farm,,-,Pulaski,Missouri,
"E & E Acres, LLC",,-,Franklin,Missouri,
Cathedral Community Farm Stand,,296 Flower City Park,Monroe,New York,14615
ALBERTA FARMERS MARKET,21724 Highway 5,ALBERTA,WILCOX,Alabama,36720
HERITAGE PARK MARKET,107 COMER HALL,AUBURN UNIVERSITY,Lee,Alabama,36849
Augusta State Farmer's Market,1150 5TH STREET,AUGUSTA,Richmond,Georgia,30901
Avon Library Farmers Market,"281 COUNTRY CLUB RD., C/O AVON LIBRARY",AVON,Hartford,Connecticut,6001
El Mercado Familiar,,Aasco,Anasco,Puerto Rico,610
Abbeville Farmers Market,118 Trinity Street at Livery Stable,Abbeville,Abbeville,South Carolina,29620
ABBEVILLE FARMERS MARKET,Kirkland Street,Abbeville ,Henry,Alabama,
Abbotsford Farmers Market,1011 East Spruce St.,Abbotsford,Clark,Wisconsin,54405
Aberdeen Farmers Market,"2nd Ave., S.E. & S. Lincoln Street",Aberdeen,Brown,South Dakota,57401
Aberdeen Sunday Market,Broadway between Heron & State St,Aberdeen,Grays Harbor,Washington,98520
Abilene Farmers Market,East 1st & Buckeye St.,Abilene,Dickinson,Kansas,67410
Northside Farmers Market,North 3rd and Mesquite,Abilene,Taylor,Texas,79601
Abingdon Farmers Market,Corner of Remsburg Drive & Cummings St,Abingdon ,Washington,Virginia,24210
Abington,362 Plymouth Street,Abington,Plymouth,Massachusetts,2351
Abita Springs Art & Farmers Market ,22049 Main Street,Abita Springs ,St. Tammany,Louisiana,70420
Choctaw County Farmers Market,Hwys 12 & 15 Intersection,Ackerman,Choctaw,Mississippi,39735
Acton-Boxborough Farmers Market,1 Pearl St,Acton,Middlesex,Massachusetts,1720
Acushnet Farmers Market,186 Leonard Street,Acushnet,Bristol,Massachusetts,2743
Acworth Farmers Market,Main and Lemon Streets,Acworth,Cobb,Georgia,
Ada Farmers' Market,7239 Thornapple River Dr.,Ada,Kent,Michigan,49301
Ada Farmer's Market,12th Street and Townsend,Ada,Pontotoc,Oklahoma,74820
Adairsville Farmers' Market,7446 Ga 140,Adairsville,Bartow,Georgia,30103
