City,State,Population,Rate,Violent Crime,Murder and Non Negligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny and Theft,Motor Vehicle Theft,Actual Violent Crime,Actual Murder and Non Negligent Manslaughter,Actual Rape,Actual Robbery,Actual Aggravated Assault,Actual Property Crime,Actual Burglary,Actual Larceny and Theft,Actual Motor Vehicle Theft,Percentage Violent Crime,Percentage Murder and Non Negligent Manslaughter,Percentage Rape,Percentage Robbery,Percentage Aggravated Assault,Percentage Property Crime,Percentage Burglary,Percentage Larceny and Theft,Percentage Motor Vehicle Theft
Abilene,TX,169885,"Rate per 100,000 inhabitants",361.4,6.5,46.5,80.6,227.8,2903.1,649.9,2077.9,175.4,613.96439,11.042525,78.996525,136.92730999999998,386.99803,4931.931435,1104.082615,3530.040415,297.97829,0.3614,0.0065,0.0465,0.08059999999999999,0.2278,2.9031000000000002,0.6499,2.0779,0.1754
Akron,OH,703561,"Rate per 100,000 inhabitants",253.1,6.0,48.9,77.3,121.0,2564.5,563.3,1857.3,144.0,1780.712891,42.21366,344.04132899999996,543.8526529999999,851.30881,18042.821845,3963.1591129999997,13067.238453,1013.12784,0.2531,0.005999999999999999,0.0489,0.0773,0.121,2.5645,0.5633,1.8573,0.14400000000000002
Albany,GA,152566,"Rate per 100,000 inhabitants",734.8,11.8,28.2,159.9,534.9,3770.8,949.8,2676.9,144.2,1121.054968,18.002788,43.023612,243.95303400000003,816.075534,5752.9587280000005,1449.0718679999998,4084.0392540000003,220.000172,0.7347999999999999,0.0118,0.028200000000000003,0.15990000000000001,0.5348999999999999,3.7708000000000004,0.9497999999999998,2.6769000000000003,0.1442
Albany,OR,122030,"Rate per 100,000 inhabitants",113.9,0.0,27.9,27.0,59.0,2690.3,378.6,2101.1,210.6,138.99217,0.0,34.04637,32.9481,71.9977,3282.97309,462.00558,2563.97233,256.99518,0.11389999999999999,0.0,0.0279,0.026999999999999996,0.05899999999999999,2.6903,0.3786,2.1011,0.2106
Albany-Schenectady-Troy,NY,878166,"Rate per 100,000 inhabitants",289.7,2.0,38.9,68.7,180.0,2009.5,281.5,1646.0,82.0,2544.046902,17.56332,341.60657399999997,603.3000420000001,1580.6988,17646.74577,2472.03729,14454.61236,720.09612,0.28969999999999996,0.002,0.0389,0.06870000000000001,0.18,2.0095,0.28150000000000003,1.646,0.082
Albuquerque,NM,907140,"Rate per 100,000 inhabitants",901.0,8.3,57.3,238.7,596.7,5288.7,951.1,3319.6,1018.0,8173.3314,75.29262000000001,519.79122,2165.34318,5412.90438,47975.91318,8627.80854,30113.41944,9234.6852,0.901,0.008300000000000002,0.0573,0.23869999999999997,0.5967,5.2887,0.9511000000000001,3.3196000000000003,1.018
Alexandria,LA,154032,"Rate per 100,000 inhabitants",923.2,7.8,50.0,116.9,748.5,4697.7,1271.2,3111.7,314.9,1422.023424,12.014496,77.016,180.063408,1152.92952,7235.961264,1958.0547840000002,4793.013744,485.046768,0.9232,0.0078,0.05,0.11690000000000002,0.7484999999999999,4.6977,1.2712,3.1117,0.3149
Allentown-Bethlehem-Easton,PA,831770,"Rate per 100,000 inhabitants",,2.6,19.4,58.3,,,264.7,,89.1,,21.62602,161.36337999999998,484.92191,,,2201.69519,,741.10707,,0.0026000000000000003,0.019399999999999997,0.058300000000000005,,,0.2647,,0.0891
Altoona,PA,124942,"Rate per 100,000 inhabitants",212.9,0.8,32.0,36.8,143.3,1359.0,190.5,1124.5,44.0,266.00151800000003,0.9995360000000001,39.98144,45.978655999999994,179.041886,1697.96178,238.01451,1404.97279,54.97448,0.21290000000000003,0.0008000000000000001,0.032,0.03679999999999999,0.1433,1.3590000000000002,0.1905,1.1245,0.044000000000000004
Amarillo,TX,263223,"Rate per 100,000 inhabitants",592.7,5.3,71.4,102.2,413.7,3932.8,761.3,2781.3,390.2,1560.1227210000002,13.950819,187.94122200000004,269.013906,1088.9535509999998,10352.034144000001,2003.9166989999997,7321.021299000001,1027.0961459999999,0.5927000000000001,0.005299999999999999,0.0714,0.10220000000000001,0.4136999999999999,3.9328000000000003,0.7612999999999999,2.7813000000000003,0.3902
Ames,IA,97202,"Rate per 100,000 inhabitants",162.5,1.0,55.6,17.5,88.5,1687.2,269.5,1330.2,87.4,157.95325,0.97202,54.044312000000005,17.01035,86.02377,1639.992144,261.95939,1292.981004,84.954548,0.1625,0.001,0.05560000000000001,0.017499999999999998,0.0885,1.6872000000000003,0.2695,1.3302,0.0874
Anaheim-Santa Ana-Irvine,CA,3179276,"Rate per 100,000 inhabitants",228.8,1.8,25.5,67.2,134.4,2077.6,346.8,1462.8,268.0,7274.183488000001,57.226968,810.71538,2136.473472,4272.946944,66052.638176,11025.729168,46506.449328,8520.45968,0.2288,0.0018,0.025500000000000002,0.06720000000000001,0.13440000000000002,2.0776,0.3468,1.4628,0.268
Anchorage,AK,315641,"Rate per 100,000 inhabitants",1114.9,8.9,173.6,224.6,707.8,4950.6,655.8,3615.8,678.9,3519.0815090000006,28.092049,547.952776,708.929686,2234.1069979999997,15626.123346000002,2069.973678,11412.947278,2142.8867490000002,1.1149,0.0089,0.1736,0.22459999999999997,0.7077999999999999,4.9506000000000006,0.6557999999999999,3.6157999999999997,0.6789000000000001
Ann Arbor,MI,361440,"Rate per 100,000 inhabitants",317.3,0.6,52.6,51.5,212.8,1647.9,254.8,1271.9,121.2,1146.84912,2.16864,190.11744,186.1416,769.14432,5956.16976,920.94912,4597.155360000001,438.06528,0.3173,0.0006,0.0526,0.051500000000000004,0.21280000000000002,1.6479000000000001,0.25479999999999997,1.2719,0.1212
Anniston-Oxford-Jacksonville,AL,114790,"Rate per 100,000 inhabitants",894.7,7.0,51.4,108.0,728.3,3282.5,1104.6,2017.6,160.3,1027.02613,8.0353,59.00206,123.9732,836.01557,3767.98175,1267.9703399999999,2316.00304,184.00837,0.8947,0.006999999999999999,0.0514,0.108,0.7283000000000001,3.2825,1.1045999999999998,2.0176,0.1603
Appleton,WI,234069,"Rate per 100,000 inhabitants",151.2,1.7,25.6,13.2,110.7,1328.7,172.6,1112.9,43.1,353.91232799999995,3.979173,59.92166400000001,30.897108,259.11438300000003,3110.074803,404.003094,2604.9539010000003,100.883739,0.15119999999999997,0.0017,0.025600000000000005,0.013200000000000002,0.1107,1.3287,0.17259999999999998,1.1129000000000002,0.0431
Asheville,NC,451305,"Rate per 100,000 inhabitants",240.4,5.1,21.7,54.7,158.9,,,1532.9,160.6,1084.93722,23.016555,97.933185,246.863835,717.123645,,,6918.054345,724.79583,0.2404,0.0051,0.0217,0.0547,0.15889999999999999,,,1.5329,0.1606
Athens-Clarke County,GA,205004,"Rate per 100,000 inhabitants",341.5,2.9,38.0,85.9,214.6,2808.2,558.5,2098.0,151.7,700.08866,5.945116,77.90152,176.09843600000002,439.938584,5756.922328,1144.94734,4300.98392,310.991068,0.3415,0.0029,0.038,0.0859,0.21459999999999999,2.8082,0.5585,2.098,0.1517
Atlanta-Sandy Springs-Roswell,GA,5790619,"Rate per 100,000 inhabitants",403.2,6.8,24.0,144.1,228.2,2998.3,576.2,2100.8,321.3,23347.775808,393.76209199999994,1389.74856,8344.281979,13214.192557999999,173620.129477,33365.546678,121649.323952,18605.258847,0.4032,0.006799999999999999,0.024,0.14409999999999998,0.2282,2.9983000000000004,0.5761999999999999,2.1008000000000004,0.32130000000000003
Auburn-Opelika,AL,160071,"Rate per 100,000 inhabitants",572.2,13.7,35.0,58.7,464.8,2584.5,552.9,1848.6,183.0,915.9262620000001,21.929726999999996,56.02485,93.96167700000001,744.010008,4137.034995,885.0325589999999,2959.0725059999995,292.92993,0.5722,0.013699999999999997,0.034999999999999996,0.05870000000000001,0.46480000000000005,2.5845,0.5529,1.8485999999999996,0.183
Augusta-Richmond County,GA,595180,"Rate per 100,000 inhabitants",342.8,7.4,36.0,84.5,214.9,3152.2,612.4,2341.6,198.1,2040.27704,44.04332,214.2648,502.9271,1279.04182,18761.26396,3644.88232,13936.73488,1179.05158,0.3428,0.0073999999999999995,0.036000000000000004,0.08449999999999999,0.21489999999999998,3.1522,0.6124,2.3416,0.1981
Austin-Round Rock,TX,2054651,"Rate per 100,000 inhabitants",316.9,3.4,57.4,68.7,187.4,2555.2,421.9,1968.3,165.1,6511.1890189999995,69.85813399999999,1179.3696739999998,1411.5452370000003,3850.4159740000005,52500.442352,8668.572569,40441.695632999996,3392.2288009999997,0.3169,0.0034,0.057399999999999986,0.06870000000000001,0.1874,2.5551999999999997,0.42189999999999994,1.9683,0.1651
