MarketName,city,County,State,zip
Wakefield , annandale ,Fairfax,Virginia,22003
Uptown Fresh Healthy Lifestyle Market, buffalo,Erie,New York,14215
Charlestown Land Trust Farmers' Market," charlestown, ri ",Washington,Rhode Island,2813
Festival Farmers Market, cobleskill,Schoharie,New York,12043
Garden Station Sunday Market , dayton,Montgomery,Ohio,45402
Terra Local, geneva,Ashtabula,Ohio,
Harrington Farmers Market, harrington,Kent,Delaware,19952
King George Farmers Market, king george,King George,Virginia,22485
"Urban Farmer's Market (Madison, FL)", madison,Madison,Florida,32340
North End Farmers Market, mansfield ,Richland,Ohio,44903
Vliet Street Green Market , milwaukee,Milwaukee,Wisconsin,53208
North Creek Farmers Market, north creek,Warren,New York,12843
Robertson County Farmer's Market , sprigfield,Robertson,Tennessee,37172
Victor Idaho Farmers Market , victor,Teton,Idaho,83455
Cathedral Community Farm Stand,296 flower city park,Monroe,New York,14615
El Mercado Familiar,Aasco,Anasco,Puerto Rico,610
Abbeville Farmers Market,Abbeville,Abbeville,South Carolina,29620
ABBEVILLE FARMERS MARKET,Abbeville ,Henry,Alabama,
Abbotsford Farmers Market,Abbotsford,Clark,Wisconsin,54405
Aberdeen Sunday Market,Aberdeen,Grays Harbor,Washington,98520
Aberdeen Farmers Market,Aberdeen,Brown,South Dakota,57401
Abilene Farmers Market,Abilene,Dickinson,Kansas,67410
Northside Farmers Market,Abilene,Taylor,Texas,79601
Abingdon Farmers Market,Abingdon ,Washington,Virginia,24210
Abington,Abington,Plymouth,Massachusetts,2351
Abita Springs Art & Farmers Market ,Abita springs ,St. Tammany,Louisiana,70420
Choctaw County Farmers Market,Ackerman,Choctaw,Mississippi,39735
Acton-Boxborough Farmers Market,Acton,Middlesex,Massachusetts,1720
Acushnet Farmers Market,Acushnet,Bristol,Massachusetts,2743
Acworth Farmers Market,Acworth,Cobb,Georgia,
Ada Farmer's Market,Ada,Pontotoc,Oklahoma,74820
Ada Farmers' Market,Ada,Kent,Michigan,49301
Adairsville Farmers' Market,Adairsville,Bartow,Georgia,30103
Adams Farmers' & Artisans' Market,Adams,Berkshire,Massachusetts,1220
Addison Farmers Market,Addison,DuPage,Illinois,60101
Adel Farmers Market,Adel,Dallas,Iowa,50830
El Mercado Familiar,Adjuntas,Adjuntas,Puerto Rico,601
Cass County Farmers' Market,Adrian,Bates,Missouri,64720
Adrian Farmers Market,Adrian ,Lenawee,Michigan,49221
Peachtree Farmers Market,Advance,Davie,North Carolina,27006
Aventura  mall market,Adventura,Miami-Dade,Florida,33138
RVCC Winter Market,Afton,Nelson,Virginia,22920
El Mercado Familiar,Aguada,Aguada,Puerto Rico,601
El Mercado Familiar,Aguadilla,Aguadilla,Puerto Rico,603
El Mercado Familiar,Aguas buenas,Aguas Buenas,Puerto Rico,703
El Mercado Familiar,Aibonito,Aibonito,Puerto Rico,705
Halawa District Park (People's Open Market),Aiea,Honolulu,Hawaii,96701
Pearlridge Farmers Market,Aiea ,Honolulu,Hawaii,96701
Aiken County Farmers Market,Aiken,Aiken,South Carolina,29801
North Central Farmers' Market,Ainsworth,Brown,Nebraska,69210
Authentically Ajo Farmers Market,Ajo ,Pima,Arizona,85321
Countryside Farmers' Market at Highland Square,Akron,Summit,Ohio,44302
TALLMADGE FAMILY FARMERS MARKET,Akron,Summit,Ohio,44311
Countryside Public Market,Akron,Summit,Ohio,44308
HAPI Fresh Farmers' Market ,Akron,Summit,Ohio,44304
Akron Farmers Market,Akron,Plymouth,Iowa,51031
Countryside Winter Farmers' Market,Akron,Summit,Ohio,44333
Market at Lock 3,Akron,Summit,Ohio,44308
Summit Lake Neighborhood Farmers' Market,Akron,Summit,Ohio,44311
HAPI Fresh Farmers' Market ,Akron ,Summit,Ohio,44310
Downtown Alachua Farmer's Market,Alachua,Alachua,Florida,32615
Alameda Farmers' Market,Alameda,Alameda,California,
Alamo Farmers Market,Alamo,Lincoln,Nevada,89001
Alamogordo Otero County Farmers' Market,Alamogordo,Otero,New Mexico,
Alamogordo Farmers' Market in Alameda Park,Alamogordo ,Otero,New Mexico,88310
Alamosa Farmers Market,Alamosa,Alamosa,Colorado,81101
Sage College Farmers Market,Albany,Albany County,New York,
Albany Farmers' Market,Albany,Linn,Oregon,97321
Harriman State Campus Farmers Market,Albany,Albany,New York,
Albany IN Farmers Market,Albany,Delaware,Indiana,47320
Whitehall Road Farmers Market,Albany,Albany County,New York,
Clinton County Farmers' Market,Albany,Clinton,Kentucky,
Empire State Plaza Farmers Market,Albany,Albany,New York,12242
Albany  Downtown Farmers Market,Albany,Dougherty,Georgia,31702
