City,State,Latitude,Longitude,UniqueFastFoodChains
Aberdeen,MD,39.52208136,-76.17993336,1
Aberdeen,NC,35.150465,-79.419149,1
Aberdeen,NC,35.155183,-79.417098,1
Aberdeen,SD,45.459587,-98.469823,1
Aberdeen,WA,46.961034,-123.803293,1
Aberdeen,WA,46.976169,-123.811008,1
Abilene,TX,32.37204,-99.74648,1
Abilene,TX,32.396009,-99.761579,1
Abilene,TX,32.405234,-99.764985,1
Abilene,TX,32.40874,-99.781034,1
Abilene,TX,32.432227,-99.756147,1
Abilene,TX,32.451319,-99.780855,1
Abingdon,VA,36.703073,-81.974198,1
Abingdon,VA,36.705143,-81.974501,1
Abington,PA,40.124566,-75.132496,1
Acton,MA,42.468486,-71.456183,1
Acton,MA,42.47599,-71.40928,1
Acworth,GA,34.0344,-84.68075,1
Acworth,GA,34.04479,-84.69587,1
Acworth,GA,34.07467,-84.676512,1
Acworth,GA,34.076137,-84.676287,1
Acworth,GA,34.077164,-84.653413,1
Ada,OK,34.77414,-96.67966,1
Ada,OK,34.779223,-96.669591,1
Ada,OK,34.78379,-96.65241,1
Adairsville,GA,34.37653,-84.91442,1
Adairsville,GA,34.376962,-84.912665,1
Adel,GA,31.13824,-83.442685,1
Adrian,MI,41.87457,-84.04149,1
Adrian,MI,41.908268,-84.030398,1
Afton,WY,42.71618,-110.93359,1
Agawam,MA,42.041006,-72.616314,1
Agoura Hills,CA,34.153826,-118.757244,1
Agoura Hills,CA,34.15483,-118.78855,1
Aiken,SC,33.507848,-81.711162,1
Aiken,SC,33.513196,-81.733406,1
Aiken,SC,33.523625,-81.719725,1
Aiken,SC,33.561177,-81.767052,1
Akron,OH,40.982963,-81.492793,1
Akron,OH,41.005682,-81.555774,1
Akron,OH,41.010905,-81.554322,1
Akron,OH,41.012335,-81.55407,1
Akron,OH,41.0286,-81.4938,1
Akron,OH,41.029139,-81.491032,1
Akron,OH,41.030605,-81.490909,1
Akron,OH,41.040248,-81.490901,1
Akron,OH,41.060732,-81.454372,1
Akron,OH,41.065056,-81.570238,1
Akron,OH,41.083624,-81.581675,1
Akron,OH,41.10862,-81.567938,1
Akron,OH,41.108993,-81.507567,1
Akron,OH,41.13413,-81.64309,1
Akron,OH,41.134991,-81.643323,1
Alameda,CA,37.75601,-122.25125,1
Alameda,CA,37.782813,-122.271763,1
Alameda,CA,37.782928,-122.272403,1
Alamogordo,NM,32.876237,-105.961302,1
Alamogordo,NM,32.899849,-105.948848,1
Alamogordo,NM,32.934361,-105.964557,1
Albany,CA,37.882305,-122.29648,1
Albany,CA,37.88988,-122.298943,1
Albany,GA,31.499616,-84.115596,1
Albany,GA,31.564528,-84.176372,1
Albany,GA,31.592102,-84.176434,1
Albany,GA,31.6135,-84.215807,1
Albany,GA,31.615919,-84.21923,1
Albany,GA,31.618978,-84.22167,1
Albany,GA,31.619308,-84.224919,1
Albany,GA,31.619703,-84.176793,1
Albany,GA,31.620486,-84.220416,1
Albany,NY,42.64306475,-73.77592486,1
Albany,NY,42.647323,-73.771918,1
Albany,NY,42.665166,-73.79057,1
Albany,NY,42.681358,-73.73074,1
Albany,NY,42.716812,-73.809319,1
Albany,NY,42.730804,-73.847902,1
Albany,OR,44.63389,-123.08573,1
Albany,OR,44.634178,-123.083363,1
Albany,OR,44.642616,-123.064759,1
Albert Lea,MN,43.651497,-93.360254,1
Albert Lea,MN,43.657901,-93.31855,1
Albert Lea,MN,43.684267,-93.359575,1
Albertville,MN,45.24491,-93.66347,1
Albion,MI,42.261242,-84.755711,1
Albion,NE,41.690786,-97.997301,1
Albuquerque,NM,35.026124,-106.681089,1
Albuquerque,NM,35.028146,-106.680526,1
Albuquerque,NM,35.029942,-106.679801,1
Albuquerque,NM,35.072155,-106.53432,1
Albuquerque,NM,35.073095,-106.533041,1
Albuquerque,NM,35.073843,-106.550325,1
Albuquerque,NM,35.074842,-106.59536,1
Albuquerque,NM,35.075613,-106.56874,1
Albuquerque,NM,35.075685,-106.587834,1
Albuquerque,NM,35.079674,-106.529984,1
Albuquerque,NM,35.081542,-106.6129,1
Albuquerque,NM,35.087145,-106.586536,1
Albuquerque,NM,35.087187,-106.563308,1
Albuquerque,NM,35.107188,-106.551599,1
Albuquerque,NM,35.11577,-106.702222,1
Albuquerque,NM,35.1165,-106.53403,1
Albuquerque,NM,35.128934,-106.533252,1
Albuquerque,NM,35.1302,-106.53072,1
Albuquerque,NM,35.130295,-106.5516172,1
Albuquerque,NM,35.130573,-106.590193,1
Albuquerque,NM,35.132004,-106.551864,1
Albuquerque,NM,35.135091,-106.611527,1
Albuquerque,NM,35.142314,-106.58686,1
Albuquerque,NM,35.146249,-106.554502,1
Albuquerque,NM,35.146426,-106.585746,1
Albuquerque,NM,35.147197,-106.526847,1
Albuquerque,NM,35.151546,-106.623243,1
Albuquerque,NM,35.175602,-106.592743,1
Albuquerque,NM,35.180221,-106.688273,1
Albuquerque,NM,35.195614,-106.65914,1
Albuquerque,NM,35.202363,-106.64708,1
Alden,NY,42.894841,-78.511352,1
Aledo,IL,41.199464,-90.733615,1
Alexandria,LA,31.277221,-92.451827,1
Alexandria,LA,31.295835,-92.479428,1
Alexandria,LA,31.315095,-92.450572,1
Alexandria,LA,31.345107,-92.517004,1
Alexandria,MN,45.846846,-95.388876,1
Alexandria,MN,45.8868,-95.3777,1
Alexandria,MN,45.942085,-95.312621,1
Alexandria,VA,38.721101,-77.124111,1
Alexandria,VA,38.745239,-77.08432,1
Alexandria,VA,38.78022,-77.07939,1
Alexandria,VA,38.80491841,-77.04584241,1
Algona,IA,43.082947,-94.236369,1
Algonquin,IL,42.163979,-88.285165,1
Algonquin,IL,42.173932,-88.335286,1
Alhambra,CA,34.077272,-118.13938,1
Alhambra,CA,34.078777,-118.12322,1
Alhambra,CA,34.079067,-118.119986,1
Alhambra,CA,34.079185,-118.111321,1
Alhambra,CA,34.087742,-118.134953,1
Alhambra,CA,34.088183,-118.151437,1
Alice,TX,27.75366,-98.06131,1
Aliquippa,PA,40.588694,-80.260898,1
Allen,TX,33.088283,-96.671585,1
Allen,TX,33.101734,-96.683104,1
Allen,TX,33.112781,-96.659834,1
Allen,TX,33.129986,-96.670843,1
Allen Park,MI,42.22836,-83.229542,1
Allendale,MI,42.96153,-85.888735,1
Allendale,MI,42.972375,-85.938672,1
Allendale,MI,42.972482,-85.918407,1
Allendale,SC,33.009494,-81.307026,1
Allentown,PA,40.553858,-75.490919,1
Allentown,PA,40.5554,-75.581833,1
Allentown,PA,40.577988,-75.45445,1
Allentown,PA,40.581753,-75.456825,1
Allentown,PA,40.58345,-75.522602,1
Allentown,PA,40.600941,-75.482596,1
Allentown,PA,40.627033,-75.442922,1
Alliance,NE,42.096694,-102.892821,1
Alliance,NE,42.101562,-102.858437,1
Alliance,OH,40.901645,-81.096,1
Alliance,OH,40.90199,-81.12966,1
Allison Park,PA,40.592463,-79.948135,1
Allison Park,PA,40.601061,-79.946826,1
Allston,MA,42.353028,-71.134984,1
Alma,MI,43.395205,-84.666745,1
Alpena,MI,45.044076,-83.456928,1
Alpena,MI,45.05034,-83.445,1
Alpharetta,GA,34.043454,-84.225976,1
Alpharetta,GA,34.061556,-84.289392,1
Alpharetta,GA,34.067693,-84.301676,1
Alpharetta,GA,34.110152,-84.22024,1
Alpharetta,GA,34.143153,-84.251166,1
Alpine,CA,32.838696,-116.777964,1
Altadena,CA,34.182376,-118.169066,1
Altadena,CA,34.183514,-118.15949,1
Altadena,CA,34.184154,-118.15968,1
Altamonte Springs,FL,28.662215,-81.402365,1
Alto,GA,34.480522,-83.588615,1
Altoona,PA,40.480114,-78.402654,1
Altoona,PA,40.48599,-78.38817,1
Altoona,PA,40.53127,-78.36897,1
Altoona,PA,40.53876,-78.38138,1
Alturas,CA,41.49456,-120.54684,1
Alvin,TX,29.400726,-95.246399,1
Alvin,TX,29.419228,-95.243666,1
Amarillo,TX,35.161595,-101.90514,1
Amarillo,TX,35.177096,-101.938201,1
Amarillo,TX,35.190678,-101.817353,1
Amarillo,TX,35.22279,-101.77016,1
Amelia,OH,39.020428,-84.20677,1
Amelia,OH,39.035672,-84.228275,1
Amelia,OH,39.046725,-84.244307,1
Amelia,OH,39.04684,-84.24551,1
American Canyon,CA,38.185121,-122.25425,1
American Fork,UT,40.375911,-111.8147,1
Americus,GA,32.07128,-84.216974,1
Americus,GA,32.073019,-84.221918,1
Ames,IA,42.02045,-93.60967,1
Ames,IA,42.02193,-93.65164,1
Ames,IA,42.02241,-93.60338,1
Ames,IA,42.022531,-93.610373,1
Ames,IA,42.023588,-93.61709,1
Ames,IA,42.03511,-93.57344,1
Ames,IA,42.049373,-93.620649,1
Amite,LA,30.72636,-90.52587,1
Amityville,NY,40.689896,-73.408119,1
Amory,MS,33.981563,-88.475848,1
Anaheim,CA,33.788917,-117.913451,1
Anaheim,CA,33.816055,-117.941483,1
Anaheim,CA,33.817738,-117.908295,1
Anaheim,CA,33.817771,-117.984352,1
Anaheim,CA,33.817815,-117.958932,1
Anaheim,CA,33.83192,-118.00305,1
Anaheim,CA,33.834618,-117.889153,1
Anaheim,CA,33.837381,-117.871417,1
Anaheim,CA,33.840854,-117.958709,1
Anaheim,CA,33.847903,-117.889121,1
Anaheim,CA,33.859514,-117.789004,1
Anchorage,AK,61.096165,-150.09395,1
Anchorage,AK,61.108263,-149.856618,1
Anchorage,AK,61.1383,-149.9504,1
Anchorage,AK,61.15354,-149.82892,1
Anchorage,AK,61.211375,-149.743723,1
Anchorage,AK,61.21157,-149.87608,1
Anchorage,AK,61.215546,-149.812281,1
Anchorage,AK,61.229535,-149.742225,1
Anderson,IN,40.061537,-85.652108,1
Anderson,IN,40.146814,-85.676095,1
Anderson,SC,34.538765,-82.667113,1
Anderson,SC,34.5411,-82.6677,1
Anderson,SC,34.54701,-82.6319,1
Anderson,SC,34.5515,-82.6766,1
Anderson,SC,34.55436,-82.62852,1
Anderson,SC,34.55705,-82.686751,1
Anderson,SC,34.631215,-82.599239,1
Andover,KS,37.678789,-97.134054,1
Andover,KS,37.683294,-97.135292,1
Andover,MN,45.246974,-93.303734,1
Angleton,TX,29.18105,-95.44666,1
Angola,IN,41.67208,-85.00039,1
Ankeny,IA,41.702893,-93.585974,1
Ankeny,IA,41.704627,-93.580975,1
Ankeny,IA,41.704834,-93.5813,1
Ankeny,IA,41.706758,-93.580952,1
Ankeny,IA,41.711791,-93.581423,1
Ankeny,IA,41.73233,-93.58294,1
Ankeny,IA,41.732374,-93.582329,1
Ankeny,IA,41.737306,-93.599406,1
Ann Arbor,MI,42.230907,-83.739813,1
Ann Arbor,MI,42.270767,-83.740456,1
Ann Arbor,MI,42.284725,-83.838496,1
Annandale,VA,38.832909,-77.191419,1
Annapolis,MD,38.97809,-76.4907,1
Annapolis,MD,38.991851,-76.546664,1
Anoka,MN,45.207725,-93.406063,1
Antelope,CA,38.711395,-121.364626,1
Antioch,CA,37.9665,-121.7828,1
Antioch,CA,37.999316,-121.80546,1
Antioch,CA,38.00562,-121.755602,1
